creator_id,mod_count,total_subscriptions,avg_subscriptions,median_subscriptions,avg_positive_rate,avg_maintenance_days,tag_breadth
76561198044924379,3,134828,44942.67,44274.00,0.924367,364.33,2
76561197993170399,20,134518,6725.90,7317.00,0.935570,5.35,2
76561198028490958,13,134167,10320.54,1786.00,0.960077,427.54,8
76561198340590981,1,132674,132674.00,132674.00,0.961300,65.00,2
76561198281464142,11,132469,12042.64,5511.00,0.936409,281.09,12
76561198408817873,3,131867,43955.67,53778.00,0.915167,1.00,1
76561198798992790,3,131705,43901.67,41129.00,0.961800,493.33,2
76561198258748635,1,131052,131052.00,131052.00,0.981600,2.00,2
76561198198911269,2,130997,65498.50,65498.50,0.955150,4.00,2
76561198067490017,11,130586,11871.45,3718.00,0.914827,223.27,11
76561198889910270,8,128970,16121.25,1392.00,0.990475,108.25,7
76561199007459910,1,128771,128771.00,128771.00,0.978100,1901.00,7
76561198812257714,4,128628,32157.00,28302.50,0.934450,956.00,2
76561198224125352,11,128609,11691.73,1802.00,0.940156,23.91,5
76561198022673120,10,127739,12773.90,4228.00,0.905940,441.20,10
76561199526617701,1,127516,127516.00,127516.00,0.981800,180.00,1
76561198010671281,3,127295,42431.67,30635.00,0.968867,463.67,6
76561197984229467,1,125643,125643.00,125643.00,0.982600,18.00,2
76561198127938344,7,125482,17926.00,10009.00,0.943857,16.29,2
76561198202913736,8,125133,15641.63,11560.00,0.960800,567.75,4
76561198427941773,2,124708,62354.00,62354.00,0.954900,389.50,3
76561198864222848,13,124557,9581.31,3088.00,0.945892,147.92,3
76561198399613296,7,124034,17719.14,297.00,0.950500,209.00,7
76561198973727160,7,123868,17695.43,1587.00,0.987386,26.00,4
76561198020545865,1,123075,123075.00,123075.00,0.959900,1240.00,2
76561198152259224,19,122060,6424.21,2345.00,0.851711,244.95,13
76561198017496587,15,121701,8113.40,1204.00,0.877687,749.47,11
76561198125763716,3,120519,40173.00,47924.00,0.921200,912.33,5
76561198111199636,1,120203,120203.00,120203.00,0.975500,2252.00,2
76561198002615676,7,119977,17139.57,13059.00,0.922571,228.43,5
76561198364367179,14,119770,8555.00,1982.50,0.945143,195.86,6
76561198259804928,6,119710,19951.67,5586.50,0.966133,179.00,10
76561198067010777,1,119457,119457.00,119457.00,0.974400,1856.00,5
76561198240522844,4,119013,29753.25,19006.50,0.971925,448.75,4
76561198887128148,73,117771,1613.30,128.00,0.955203,28.36,18
76561198234234404,6,117690,19615.00,8204.00,0.964367,676.33,6
76561198358999679,15,117206,7813.73,5383.00,0.932636,0.13,5
76561198118197575,10,116741,11674.10,2748.50,0.953900,397.10,11
76561198019858393,6,116226,19371.00,552.50,0.978720,220.83,0
76561199022398562,1,116069,116069.00,116069.00,0.953800,384.00,2
76561199032104502,1,116023,116023.00,116023.00,0.993000,46.00,5
76561198416327340,2,115590,57795.00,57795.00,0.741450,445.00,2
76561198145882307,4,114591,28647.75,19683.50,0.942925,1.50,14
76561199104498515,5,114278,22855.60,16413.00,0.974920,375.20,2
76561198043674682,9,113854,12650.44,7643.00,0.956744,163.89,8
76561198865196831,3,113703,37901.00,52097.00,0.972900,472.33,11
76561198228714512,8,112549,14068.63,12060.50,0.878300,1191.75,6
76561198100970055,1,112401,112401.00,112401.00,0.975200,2387.00,4
76561198021521453,3,112300,37433.33,34198.00,0.968200,0.00,2
76561198371834738,4,112271,28067.75,13767.50,0.729350,177.25,10
76561198003972862,3,111293,37097.67,10095.00,0.941700,84.00,2
76561198133238113,2,111119,55559.50,55559.50,0.934200,44.50,2
76561198019663066,6,110952,18492.00,2095.00,0.913383,195.00,2
76561198161213854,5,109727,21945.40,4472.00,0.950460,165.60,9
76561198364268300,8,109259,13657.38,3096.50,0.988725,524.38,8
76561198034277414,1,109091,109091.00,109091.00,0.815900,3.00,2
76561197993489422,5,109084,21816.80,22625.00,0.953160,10.40,2
76561198316619352,7,108742,15534.57,7364.00,0.789957,1884.86,7
76561198061334972,3,108584,36194.67,39371.00,0.951067,114.00,7
76561198069625739,6,108352,18058.67,14212.00,0.917350,93.67,2
76561197973769935,2,107805,53902.50,53902.50,0.986700,596.00,4
76561198076111536,1,107302,107302.00,107302.00,0.907400,4049.00,4
76561198321455198,14,107060,7647.14,1382.50,0.931323,147.79,10
76561197997040163,2,106765,53382.50,53382.50,0.991250,47.50,3
76561198040638621,4,106327,26581.75,22626.00,0.964725,750.00,7
76561199003859826,2,106204,53102.00,53102.00,0.981900,1280.00,13
76561198018355104,2,106045,53022.50,53022.50,0.953400,1569.50,3
76561199233085903,12,105680,8806.67,2613.50,0.962692,75.50,3
76561198045147700,5,104363,20872.60,1532.00,0.846480,131.00,10
76561198055698285,2,104245,52122.50,52122.50,0.970450,0.00,4
76561198058443550,2,104112,52056.00,52056.00,0.958200,896.50,7
76561198005846212,7,104052,14864.57,3224.00,0.959029,189.71,7
76561198343894076,2,103750,51875.00,51875.00,0.962650,451.50,2
76561198379610869,27,103433,3830.85,508.00,0.910096,283.96,15
76561198033983429,1,103414,103414.00,103414.00,0.985000,468.00,2
76561198258151739,1,103332,103332.00,103332.00,0.967700,0.00,4
76561198148708285,2,103240,51620.00,51620.00,0.641050,21.50,1
76561199659455350,2,102917,51458.50,51458.50,0.910200,0.00,2
76561198354418168,15,102391,6826.07,4604.00,0.932567,261.73,8
76561198279107112,6,101731,16955.17,795.50,0.955450,372.00,16
76561199197051762,2,101694,50847.00,50847.00,0.874900,105.50,2
76561198053918282,1,100916,100916.00,100916.00,0.956200,2198.00,2
76561198275358636,10,100610,10061.00,2009.00,0.934330,7.70,11
76561198175300627,6,100492,16748.67,16762.00,0.966567,124.83,2
76561198045221839,17,100299,5899.94,1453.00,0.942288,167.59,11
76561198047245203,4,99762,24940.50,22865.50,0.976750,502.75,6
76561198433830618,6,98366,16394.33,8814.50,0.924620,309.33,2
76561197989086421,1,98001,98001.00,98001.00,0.944300,247.00,2
76561199413990599,26,97540,3751.54,937.00,0.902485,75.35,17
76561198042409790,13,96962,7458.62,397.00,0.813208,331.85,12
76561198893559601,11,96898,8808.91,695.00,0.859467,398.91,4
76561198139064808,7,96674,13810.57,14883.00,0.960829,332.00,3
76561198047941783,2,96470,48235.00,48235.00,0.981700,1746.50,5
76561198314638684,7,95969,13709.86,827.00,0.891486,11.29,7
76561198200466305,8,95618,11952.25,3492.00,0.892550,423.88,8
76561198105798752,18,95333,5296.28,599.50,0.910856,40.89,13
76561198869598689,10,94794,9479.40,972.00,0.968390,403.40,2
76561198277451875,1,94346,94346.00,94346.00,0.991400,198.00,5
