token,top_100_comment_count,rank_300_500_comment_count,top_100_comments_per_1000,rank_300_500_comments_per_1000,comments_per_1000_diff,rate_ratio,dominant_group
added,27,49,7.98,9.93,-1.95,0.8033,rank_300_500
kleientertainment,3,14,0.89,2.84,-1.95,0.3124,rank_300_500
modding,3,14,0.89,2.84,-1.95,0.3124,rank_300_500
scheduler,3,14,0.89,2.84,-1.95,0.3124,rank_300_500
takes,3,14,0.89,2.84,-1.95,0.3124,rank_300_500
useless,3,14,0.89,2.84,-1.95,0.3124,rank_300_500
water,3,14,0.89,2.84,-1.95,0.3124,rank_300_500
weapons,3,14,0.89,2.84,-1.95,0.3124,rank_300_500
cellar,10,5,2.95,1.01,1.94,2.9158,top_100
look,36,62,10.64,12.56,-1.93,0.8465,rank_300_500
curious,1,11,0.3,2.23,-1.93,0.1325,rank_300_500
instant,1,11,0.3,2.23,-1.93,0.1325,rank_300_500
isso,1,11,0.3,2.23,-1.93,0.1325,rank_300_500
path,1,11,0.3,2.23,-1.93,0.1325,rank_300_500
touhou,1,11,0.3,2.23,-1.93,0.1325,rank_300_500
translated,1,11,0.3,2.23,-1.93,0.1325,rank_300_500
you've,1,11,0.3,2.23,-1.93,0.1325,rank_300_500
authorization,12,8,3.55,1.62,1.92,2.1869,top_100
considerations,12,8,3.55,1.62,1.92,2.1869,top_100
creativity,12,8,3.55,1.62,1.92,2.1869,top_100
deeply,12,8,3.55,1.62,1.92,2.1869,top_100
es,12,8,3.55,1.62,1.92,2.1869,top_100
gaming,12,8,3.55,1.62,1.92,2.1869,top_100
proposal,12,8,3.55,1.62,1.92,2.1869,top_100
retain,12,8,3.55,1.62,1.92,2.1869,top_100
rights,12,8,3.55,1.62,1.92,2.1869,top_100
sharer,12,8,3.55,1.62,1.92,2.1869,top_100
values,12,8,3.55,1.62,1.92,2.1869,top_100
across,14,11,4.14,2.23,1.91,1.8555,top_100
